megye,ev,szam
Municipiul Bucuresti,2008,3390
Mures,2008,880
Neamt,2008,1246
Olt,2008,711
Prahova,2008,1650
Salaj,2008,261
Satu Mare,2008,677
Sibiu,2008,716
Suceava,2008,1504
Teleorman,2008,609
Timis,2008,524
Tulcea,2008,559
Valcea,2008,771
Vaslui,2008,858
Vrancea,2008,685
Alba,2009,566
Arad,2009,657
Arges,2009,866
Bacau,2009,1304
Bihor,2009,637
Bistrita-Nasaud,2009,455
Botosani,2009,711
Braila,2009,733
Brasov,2009,1657
Buzau,2009,781
Calarasi,2009,592
Caras-Severin,2009,721
Cluj,2009,1133
Constanta,2009,773
Covasna,2009,285
Dambovita,2009,770
Dolj,2009,586
Galati,2009,978
Giurgiu,2009,237
Gorj,2009,620
Harghita,2009,338
Hunedoara,2009,1091
Ialomita,2009,353
Iasi,2009,783
Ilfov,2009,395
Maramures,2009,811
Mehedinti,2009,486
Municipiul Bucuresti,2009,2863
Mures,2009,728
Neamt,2009,1175
Olt,2009,620
Prahova,2009,1594
Salaj,2009,347
Satu Mare,2009,567
Sibiu,2009,667
Suceava,2009,1252
Teleorman,2009,555
Timis,2009,559
Tulcea,2009,280
Valcea,2009,402
Vaslui,2009,863
Vrancea,2009,550
Alba,2010,692
Arad,2010,604
Arges,2010,1235
Bacau,2010,1398
Bihor,2010,1016
Bistrita-Nasaud,2010,432
Botosani,2010,795
Braila,2010,664
Brasov,2010,903
Buzau,2010,824
Calarasi,2010,597
Caras-Severin,2010,661
Cluj,2010,1041
Constanta,2010,912
Covasna,2010,327
Dambovita,2010,793
Dolj,2010,341
Galati,2010,1005
Giurgiu,2010,255
Gorj,2010,415
Harghita,2010,384
Hunedoara,2010,1198
Ialomita,2010,334
Iasi,2010,973
Ilfov,2010,339
Maramures,2010,976
Mehedinti,2010,521
Municipiul Bucuresti,2010,2763
Mures,2010,864
Neamt,2010,1080
Olt,2010,643
Prahova,2010,1389
Salaj,2010,335
Satu Mare,2010,709
Sibiu,2010,792
Suceava,2010,1173
Teleorman,2010,568
Timis,2010,593
Tulcea,2010,394
Valcea,2010,265
Vaslui,2010,952
Vrancea,2010,477
Alba,2011,717
Arad,2011,733
Arges,2011,1332
Bacau,2011,1415
Bihor,2011,1158
Bistrita-Nasaud,2011,359
Botosani,2011,667
Braila,2011,864
Brasov,2011,1396
Buzau,2011,746
Calarasi,2011,579
Caras-Severin,2011,800
Cluj,2011,1104
Constanta,2011,1211
Covasna,2011,283
Dambovita,2011,896
Dolj,2011,380
Galati,2011,1286
Giurgiu,2011,300
Gorj,2011,400
Harghita,2011,404
Hunedoara,2011,1174
Ialomita,2011,468
Iasi,2011,967
Ilfov,2011,346
Maramures,2011,900
Mehedinti,2011,498
Municipiul Bucuresti,2011,3949
Mures,2011,771
Neamt,2011,1204
Olt,2011,583
Prahova,2011,1418
Salaj,2011,327
Satu Mare,2011,575
Sibiu,2011,872
Suceava,2011,1076
Teleorman,2011,575
Timis,2011,808
Tulcea,2011,444
Valcea,2011,496
Vaslui,2011,824
Vrancea,2011,475
Alba,2012,618
Arad,2012,838
Arges,2012,1026
Bacau,2012,1124
Bihor,2012,873
