megye,ev,szam
Gorj,2020,1256
Gorj,2021,1886
Gorj,2022,1922
Gorj,3004,2345
Harghita,1990,2388
Harghita,1991,2090
Harghita,1992,2043
Harghita,1993,1832
Harghita,1994,1812
Harghita,1995,1848
Harghita,1996,1873
Harghita,1997,1872
Harghita,1998,1838
Harghita,1999,1811
Harghita,2000,1585
Harghita,2001,1560
Harghita,2002,1487
Harghita,2003,1583
Harghita,2005,1679
Harghita,2006,1698
Harghita,2007,2403
Harghita,2008,1745
Harghita,2009,1660
Harghita,2010,1503
Harghita,2011,1345
Harghita,2012,1302
Harghita,2013,1364
Harghita,2014,1433
Harghita,2015,1498
Harghita,2016,1499
Harghita,2017,1588
Harghita,2018,1580
Harghita,2019,1536
Harghita,2020,939
Harghita,2021,1415
Harghita,2022,1502
Harghita,3004,1720
Hunedoara,1990,4863
Hunedoara,1991,4959
Hunedoara,1992,4464
Hunedoara,1993,4039
Hunedoara,1994,4138
Hunedoara,1995,3960
Hunedoara,1996,4050
Hunedoara,1997,3845
Hunedoara,1998,3496
Hunedoara,1999,3219
Hunedoara,2000,2983
Hunedoara,2001,2857
Hunedoara,2002,2865
Hunedoara,2003,2993
Hunedoara,2005,2797
Hunedoara,2006,3033
Hunedoara,2007,3516
Hunedoara,2008,3008
Hunedoara,2009,2645
Hunedoara,2010,2374
Hunedoara,2011,2242
Hunedoara,2012,2213
Hunedoara,2013,2232
Hunedoara,2014,2258
Hunedoara,2015,2556
Hunedoara,2016,2532
Hunedoara,2017,2693
Hunedoara,2018,2959
Hunedoara,2019,2558
Hunedoara,2020,1629
Hunedoara,2021,2232
Hunedoara,2022,2372
Hunedoara,3004,3104
Ialomita,1990,2711
Ialomita,1991,2445
Ialomita,1992,2504
Ialomita,1993,2463
Ialomita,1994,2130
Ialomita,1995,2140
Ialomita,1996,1787
Ialomita,1997,1840
Ialomita,1998,1700
Ialomita,1999,1724
Ialomita,2000,1671
Ialomita,2001,1640
Ialomita,2002,1394
Ialomita,2003,1392
Ialomita,2005,1509
Ialomita,2006,1768
Ialomita,2007,3066
