megye,ev,szam
Sibiu,2013,533
Sibiu,2014,564
Sibiu,2015,687
Sibiu,2016,727
Sibiu,2017,804
Sibiu,2018,708
Sibiu,2019,776
Sibiu,2020,554
Sibiu,2021,654
Sibiu,2022,529
Suceava,1990,960
Suceava,1991,1299
Suceava,1992,946
Suceava,1993,931
Suceava,1994,1137
Suceava,1995,1083
Suceava,1996,1337
Suceava,1997,1252
Suceava,1998,1531
Suceava,1999,1352
Suceava,2000,1188
Suceava,2001,1117
Suceava,2002,1102
Suceava,2003,1275
Suceava,2004,1348
Suceava,2005,1258
Suceava,2006,1221
Suceava,2007,1247
Suceava,2008,1504
Suceava,2009,1252
Suceava,2010,1173
Suceava,2011,1076
Suceava,2012,1272
Suceava,2013,971
Suceava,2014,960
Suceava,2015,1084
Suceava,2016,1028
Suceava,2017,1029
Suceava,2018,957
Suceava,2019,1020
Suceava,2020,774
Suceava,2021,838
Suceava,2022,783
Teleorman,1990,472
Teleorman,1991,557
Teleorman,1992,467
Teleorman,1993,520
Teleorman,1994,509
Teleorman,1995,514
Teleorman,1996,511
Teleorman,1997,538
Teleorman,1998,543
Teleorman,1999,512
Teleorman,2000,493
Teleorman,2001,532
Teleorman,2002,537
Teleorman,2003,550
Teleorman,2004,559
Teleorman,2005,544
Teleorman,2006,637
Teleorman,2007,647
Teleorman,2008,609
Teleorman,2009,555
Teleorman,2010,568
Teleorman,2011,575
Teleorman,2012,464
Teleorman,2013,496
Teleorman,2014,447
Teleorman,2015,528
Teleorman,2016,559
Teleorman,2017,614
Teleorman,2018,531
Teleorman,2019,508
Teleorman,2020,400
Teleorman,2021,407
Teleorman,2022,399
Timis,1990,1467
Timis,1991,1818
Timis,1992,1833
Timis,1993,1368
Timis,1994,2262
Timis,1995,1382
Timis,1996,1351
Timis,1997,1280
Timis,1998,1457
Timis,1999,836
Timis,2000,631
Timis,2001,669
Timis,2002,1000
Timis,2003,951
Timis,2004,1164
Timis,2005,1037
Timis,2006,742
Timis,2007,1330
Timis,2008,524
Timis,2009,559
Timis,2010,593
Timis,2011,808
Timis,2012,797
Timis,2013,852
Timis,2014,812
Timis,2015,1090
Timis,2016,1187
Timis,2017,1127
Timis,2018,947
Timis,2019,890
Timis,2020,736
Timis,2021,776
Timis,2022,747
Tulcea,1990,221
Tulcea,1991,295
Tulcea,1992,199
Tulcea,1993,181
Tulcea,1994,280
Tulcea,1995,360
Tulcea,1996,387
Tulcea,1997,511
Tulcea,1998,591
Tulcea,1999,463
Tulcea,2000,358
Tulcea,2001,507
Tulcea,2002,495
Tulcea,2003,449
Tulcea,2004,422
Tulcea,2005,484
Tulcea,2006,446
Tulcea,2007,492
Tulcea,2008,559
Tulcea,2009,280
Tulcea,2010,394
Tulcea,2011,444
Tulcea,2012,362
Tulcea,2013,310
Tulcea,2014,205
Tulcea,2015,188
Tulcea,2016,116
Tulcea,2017,236
Tulcea,2018,271
Tulcea,2019,297
Tulcea,2020,220
Tulcea,2021,360
Tulcea,2022,253
Valcea,1990,631
